"Notes"	"Disease"	"Disease Code"	"State"	"State Code"	"Year"	"Year Code"	STD Cases	Population	Rate
	"Chlamydia"	"274"	"Alabama"	"01"	"1996"	"1996"	8283	4331102	191.25
	"Chlamydia"	"274"	"Alabama"	"01"	"1997"	"1997"	8704	4367935	199.27
	"Chlamydia"	"274"	"Alabama"	"01"	"1998"	"1998"	10065	4404701	228.51
	"Chlamydia"	"274"	"Alabama"	"01"	"1999"	"1999"	12375	4430141	279.34
	"Chlamydia"	"274"	"Alabama"	"01"	"2000"	"2000"	15323	4451975	344.18
	"Chlamydia"	"274"	"Alabama"	"01"	"2001"	"2001"	14524	4468912	325.00
	"Chlamydia"	"274"	"Alabama"	"01"	"2002"	"2002"	15611	4486508	347.95
	"Chlamydia"	"274"	"Alabama"	"01"	"2003"	"2003"	14209	4500752	315.70
	"Chlamydia"	"274"	"Alabama"	"01"	"2004"	"2004"	13314	4530182	293.89
	"Chlamydia"	"274"	"Alabama"	"01"	"2005"	"2005"	17109	4557808	375.38
	"Chlamydia"	"274"	"Alabama"	"01"	"2006"	"2006"	22915	4599030	498.26
	"Chlamydia"	"274"	"Alabama"	"01"	"2007"	"2007"	25153	4627851	543.51
	"Chlamydia"	"274"	"Alabama"	"01"	"2008"	"2008"	24760	4661900	531.11
	"Chlamydia"	"274"	"Alabama"	"01"	"2009"	"2009"	25929	4708708	550.66
	"Chlamydia"	"274"	"Alabama"	"01"	"2010"	"2010"	27041	4779736	565.74
	"Chlamydia"	"274"	"Alabama"	"01"	"2011"	"2011"	29626	4802740	616.86
	"Chlamydia"	"274"	"Alabama"	"01"	"2012"	"2012"	30621	4822023	635.02
	"Chlamydia"	"274"	"Alabama"	"01"	"2013"	"2013"	29464	4833722	609.55
	"Chlamydia"	"274"	"Alabama"	"01"	"2014"	"2014"	29010	4833722	600.16
"Total"	"Chlamydia"	"274"	"Alabama"	"01"			374036	87199448	428.94
	"Chlamydia"	"274"	"Alaska"	"02"	"1996"	"1996"	1290	608569	211.97
	"Chlamydia"	"274"	"Alaska"	"02"	"1997"	"1997"	1616	612968	263.63
	"Chlamydia"	"274"	"Alaska"	"02"	"1998"	"1998"	1907	619932	307.61
	"Chlamydia"	"274"	"Alaska"	"02"	"1999"	"1999"	1886	624779	301.87
	"Chlamydia"	"274"	"Alaska"	"02"	"2000"	"2000"	2569	627698	409.27
	"Chlamydia"	"274"	"Alaska"	"02"	"2001"	"2001"	2744	633630	433.06
	"Chlamydia"	"274"	"Alaska"	"02"	"2002"	"2002"	3806	643786	591.19
	"Chlamydia"	"274"	"Alaska"	"02"	"2003"	"2003"	3900	648820	601.09
	"Chlamydia"	"274"	"Alaska"	"02"	"2004"	"2004"	3954	655435	603.26
	"Chlamydia"	"274"	"Alaska"	"02"	"2005"	"2005"	4355	663661	656.21
	"Chlamydia"	"274"	"Alaska"	"02"	"2006"	"2006"	4525	670053	675.32
	"Chlamydia"	"274"	"Alaska"	"02"	"2007"	"2007"	4911	683478	718.53
	"Chlamydia"	"274"	"Alaska"	"02"	"2008"	"2008"	4861	686293	708.30
	"Chlamydia"	"274"	"Alaska"	"02"	"2009"	"2009"	5166	698473	739.61
	"Chlamydia"	"274"	"Alaska"	"02"	"2010"	"2010"	6019	710231	847.47
	"Chlamydia"	"274"	"Alaska"	"02"	"2011"	"2011"	5739	722718	794.09
	"Chlamydia"	"274"	"Alaska"	"02"	"2012"	"2012"	5462	731449	746.74
	"Chlamydia"	"274"	"Alaska"	"02"	"2013"	"2013"	5774	735132	785.44
	"Chlamydia"	"274"	"Alaska"	"02"	"2014"	"2014"	5789	735132	787.48
"Total"	"Chlamydia"	"274"	"Alaska"	"02"			76273	12712237	600.00
	"Chlamydia"	"274"	"Arizona"	"04"	"1996"	"1996"	10688	4586940	233.01
	"Chlamydia"	"274"	"Arizona"	"04"	"1997"	"1997"	10761	4736990	227.17
	"Chlamydia"	"274"	"Arizona"	"04"	"1998"	"1998"	11381	4883342	233.06
	"Chlamydia"	"274"	"Arizona"	"04"	"1999"	"1999"	12046	5023823	239.78
	"Chlamydia"	"274"	"Arizona"	"04"	"2000"	"2000"	12612	5167142	244.08
	"Chlamydia"	"274"	"Arizona"	"04"	"2001"	"2001"	14354	5306966	270.48
	"Chlamydia"	"274"	"Arizona"	"04"	"2002"	"2002"	14921	5456453	273.46
	"Chlamydia"	"274"	"Arizona"	"04"	"2003"	"2003"	12819	5580811	229.70
	"Chlamydia"	"274"	"Arizona"	"04"	"2004"	"2004"	16786	5743834	292.24
	"Chlamydia"	"274"	"Arizona"	"04"	"2005"	"2005"	21264	5939292	358.02
	"Chlamydia"	"274"	"Arizona"	"04"	"2006"	"2006"	24090	6166318	390.67
	"Chlamydia"	"274"	"Arizona"	"04"	"2007"	"2007"	24866	6338755	392.29
	"Chlamydia"	"274"	"Arizona"	"04"	"2008"	"2008"	24769	6500180	381.05
	"Chlamydia"	"274"	"Arizona"	"04"	"2009"	"2009"	26002	6595778	394.22
	"Chlamydia"	"274"	"Arizona"	"04"	"2010"	"2010"	26861	6392017	420.23
	"Chlamydia"	"274"	"Arizona"	"04"	"2011"	"2011"	29251	6482505	451.23
	"Chlamydia"	"274"	"Arizona"	"04"	"2012"	"2012"	30444	6553255	464.56
	"Chlamydia"	"274"	"Arizona"	"04"	"2013"	"2013"	30564	6626624	461.23
	"Chlamydia"	"274"	"Arizona"	"04"	"2014"	"2014"	32397	6626624	488.89
"Total"	"Chlamydia"	"274"	"Arizona"	"04"			386876	110707649	349.46
	"Chlamydia"	"274"	"Arkansas"	"05"	"1996"	"1996"	2097	2572109	81.53
	"Chlamydia"	"274"	"Arkansas"	"05"	"1997"	"1997"	2560	2601090	98.42
	"Chlamydia"	"274"	"Arkansas"	"05"	"1998"	"1998"	4123	2626289	156.99
	"Chlamydia"	"274"	"Arkansas"	"05"	"1999"	"1999"	5865	2651860	221.17
	"Chlamydia"	"274"	"Arkansas"	"05"	"2000"	"2000"	6219	2678668	232.17
	"Chlamydia"	"274"	"Arkansas"	"05"	"2001"	"2001"	7280	2694698	270.16
	"Chlamydia"	"274"	"Arkansas"	"05"	"2002"	"2002"	7312	2710079	269.81
	"Chlamydia"	"274"	"Arkansas"	"05"	"2003"	"2003"	7856	2725715	288.22
	"Chlamydia"	"274"	"Arkansas"	"05"	"2004"	"2004"	7864	2752629	285.69
	"Chlamydia"	"274"	"Arkansas"	"05"	"2005"	"2005"	8507	2779154	306.10
	"Chlamydia"	"274"	"Arkansas"	"05"	"2006"	"2006"	8259	2810872	293.82
	"Chlamydia"	"274"	"Arkansas"	"05"	"2007"	"2007"	9954	2834797	351.14
	"Chlamydia"	"274"	"Arkansas"	"05"	"2008"	"2008"	14136	2855390	495.06
	"Chlamydia"	"274"	"Arkansas"	"05"	"2009"	"2009"	14354	2889450	496.77
	"Chlamydia"	"274"	"Arkansas"	"05"	"2010"	"2010"	15424	2915918	528.96
	"Chlamydia"	"274"	"Arkansas"	"05"	"2011"	"2011"	16052	2937979	546.36
	"Chlamydia"	"274"	"Arkansas"	"05"	"2012"	"2012"	16611	2949131	563.25
	"Chlamydia"	"274"	"Arkansas"	"05"	"2013"	"2013"	15447	2959373	521.97
	"Chlamydia"	"274"	"Arkansas"	"05"	"2014"	"2014"	15605	2959373	527.31
"Total"	"Chlamydia"	"274"	"Arkansas"	"05"			185525	52904574	350.68
	"Chlamydia"	"274"	"California"	"06"	"1996"	"1996"	61736	32018834	192.81
	"Chlamydia"	"274"	"California"	"06"	"1997"	"1997"	68844	32486010	211.92
	"Chlamydia"	"274"	"California"	"06"	"1998"	"1998"	76492	32987675	231.88
	"Chlamydia"	"274"	"California"	"06"	"1999"	"1999"	85111	33499204	254.07
	"Chlamydia"	"274"	"California"	"06"	"2000"	"2000"	95316	34010375	280.26
	"Chlamydia"	"274"	"California"	"06"	"2001"	"2001"	101915	34600463	294.55
	"Chlamydia"	"274"	"California"	"06"	"2002"	"2002"	110288	35116033	314.07
	"Chlamydia"	"274"	"California"	"06"	"2003"	"2003"	117428	35484453	330.93
	"Chlamydia"	"274"	"California"	"06"	"2004"	"2004"	122197	35893799	340.44
	"Chlamydia"	"274"	"California"	"06"	"2005"	"2005"	130716	36132147	361.77
	"Chlamydia"	"274"	"California"	"06"	"2006"	"2006"	135827	36457549	372.56
	"Chlamydia"	"274"	"California"	"06"	"2007"	"2007"	141928	36553215	388.28
	"Chlamydia"	"274"	"California"	"06"	"2008"	"2008"	148798	36756666	404.82
	"Chlamydia"	"274"	"California"	"06"	"2009"	"2009"	146796	36961664	397.16
	"Chlamydia"	"274"	"California"	"06"	"2010"	"2010"	150443	37253956	403.83
	"Chlamydia"	"274"	"California"	"06"	"2011"	"2011"	166773	37691912	442.46
	"Chlamydia"	"274"	"California"	"06"	"2012"	"2012"	167695	38041430	440.82
	"Chlamydia"	"274"	"California"	"06"	"2013"	"2013"	167346	38332521	436.56
	"Chlamydia"	"274"	"California"	"06"	"2014"	"2014"	176308	38332521	459.94
"Total"	"Chlamydia"	"274"	"California"	"06"			2371957	678610427	349.53
	"Chlamydia"	"274"	"Colorado"	"08"	"1996"	"1996"	7282	3919972	185.77
	"Chlamydia"	"274"	"Colorado"	"08"	"1997"	"1997"	7749	4018293	192.84
	"Chlamydia"	"274"	"Colorado"	"08"	"1998"	"1998"	9113	4116639	221.37
	"Chlamydia"	"274"	"Colorado"	"08"	"1999"	"1999"	10848	4226018	256.70
	"Chlamydia"	"274"	"Colorado"	"08"	"2000"	"2000"	12000	4326758	277.34
	"Chlamydia"	"274"	"Colorado"	"08"	"2001"	"2001"	13239	4430989	298.78
	"Chlamydia"	"274"	"Colorado"	"08"	"2002"	"2002"	14028	4506542	311.28
	"Chlamydia"	"274"	"Colorado"	"08"	"2003"	"2003"	13039	4550688	286.53
	"Chlamydia"	"274"	"Colorado"	"08"	"2004"	"2004"	14151	4601403	307.54
	"Chlamydia"	"274"	"Colorado"	"08"	"2005"	"2005"	15432	4665177	330.79
	"Chlamydia"	"274"	"Colorado"	"08"	"2006"	"2006"	16313	4753377	343.19
	"Chlamydia"	"274"	"Colorado"	"08"	"2007"	"2007"	17186	4861515	353.51
	"Chlamydia"	"274"	"Colorado"	"08"	"2008"	"2008"	19180	4939456	388.30
	"Chlamydia"	"274"	"Colorado"	"08"	"2009"	"2009"	19998	5024748	397.99
	"Chlamydia"	"274"	"Colorado"	"08"	"2010"	"2010"	19447	5029196	386.68
	"Chlamydia"	"274"	"Colorado"	"08"	"2011"	"2011"	21811	5116796	426.26
	"Chlamydia"	"274"	"Colorado"	"08"	"2012"	"2012"	21631	5187582	416.98
	"Chlamydia"	"274"	"Colorado"	"08"	"2013"	"2013"	20386	5268367	386.95
	"Chlamydia"	"274"	"Colorado"	"08"	"2014"	"2014"	21863	5268367	414.99
"Total"	"Chlamydia"	"274"	"Colorado"	"08"			294696	88811883	331.82
	"Chlamydia"	"274"	"Connecticut"	"09"	"1996"	"1996"	6269	3336685	187.88
	"Chlamydia"	"274"	"Connecticut"	"09"	"1997"	"1997"	6377	3349348	190.40
	"Chlamydia"	"274"	"Connecticut"	"09"	"1998"	"1998"	6977	3365352	207.32
	"Chlamydia"	"274"	"Connecticut"	"09"	"1999"	"1999"	7422	3386401	219.17
	"Chlamydia"	"274"	"Connecticut"	"09"	"2000"	"2000"	7604	3411956	222.86
	"Chlamydia"	"274"	"Connecticut"	"09"	"2001"	"2001"	7718	3434602	224.71
	"Chlamydia"	"274"	"Connecticut"	"09"	"2002"	"2002"	9808	3460503	283.43
	"Chlamydia"	"274"	"Connecticut"	"09"	"2003"	"2003"	9393	3483375	269.65
	"Chlamydia"	"274"	"Connecticut"	"09"	"2004"	"2004"	9552	3503604	272.63
	"Chlamydia"	"274"	"Connecticut"	"09"	"2005"	"2005"	11039	3510297	314.48
	"Chlamydia"	"274"	"Connecticut"	"09"	"2006"	"2006"	10946	3504809	312.31
	"Chlamydia"	"274"	"Connecticut"	"09"	"2007"	"2007"	11454	3502309	327.04
	"Chlamydia"	"274"	"Connecticut"	"09"	"2008"	"2008"	12519	3501252	357.56
	"Chlamydia"	"274"	"Connecticut"	"09"	"2009"	"2009"	12127	3518288	344.69
	"Chlamydia"	"274"	"Connecticut"	"09"	"2010"	"2010"	12649	3574097	353.91
	"Chlamydia"	"274"	"Connecticut"	"09"	"2011"	"2011"	13649	3580709	381.18
	"Chlamydia"	"274"	"Connecticut"	"09"	"2012"	"2012"	13065	3590347	363.89
	"Chlamydia"	"274"	"Connecticut"	"09"	"2013"	"2013"	12775	3596080	355.25
	"Chlamydia"	"274"	"Connecticut"	"09"	"2014"	"2014"	13382	3596080	372.13
"Total"	"Chlamydia"	"274"	"Connecticut"	"09"			194725	66206094	294.12
	"Chlamydia"	"274"	"Delaware"	"10"	"1996"	"1996"	2269	740977	306.22
	"Chlamydia"	"274"	"Delaware"	"10"	"1997"	"1997"	2610	751487	347.31
	"Chlamydia"	"274"	"Delaware"	"10"	"1998"	"1998"	2608	763335	341.66
	"Chlamydia"	"274"	"Delaware"	"10"	"1999"	"1999"	2761	774990	356.26
	"Chlamydia"	"274"	"Delaware"	"10"	"2000"	"2000"	2856	786512	363.12
	"Chlamydia"	"274"	"Delaware"	"10"	"2001"	"2001"	2793	796599	350.62
	"Chlamydia"	"274"	"Delaware"	"10"	"2002"	"2002"	2649	807385	328.10
	"Chlamydia"	"274"	"Delaware"	"10"	"2003"	"2003"	3035	817491	371.26
	"Chlamydia"	"274"	"Delaware"	"10"	"2004"	"2004"	2954	830364	355.75
	"Chlamydia"	"274"	"Delaware"	"10"	"2005"	"2005"	3392	843524	402.12
	"Chlamydia"	"274"	"Delaware"	"10"	"2006"	"2006"	3615	853476	423.56
	"Chlamydia"	"274"	"Delaware"	"10"	"2007"	"2007"	3479	864764	402.31
	"Chlamydia"	"274"	"Delaware"	"10"	"2008"	"2008"	3868	873092	443.02
	"Chlamydia"	"274"	"Delaware"	"10"	"2009"	"2009"	4718	885122	533.03
	"Chlamydia"	"274"	"Delaware"	"10"	"2010"	"2010"	4464	897934	497.14
