Y,Y,OBJECTID,ID,NAME,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,BEDS,TRAUMA,,STATUS,
-71.4743109,42.99156518,7001,703102,CATHOLIC MEDICAL CENTER,MANCHESTER,NH,3102,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,330,HILLSBOROUGH,33011,USA,42.99156518,-71.4743109,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,330,NOT AVAILABLE,,,OPEN
-71.87453591,42.9718711,7002,1003047,CROTCHED MOUNTAIN REHABILITATION CENTER,GREENFIELD,NH,3047,NOT AVAILABLE,REHABILITATION,OPEN,62,HILLSBOROUGH,33011,USA,42.9718711,-71.87453591,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,62,NOT AVAILABLE,,,OPEN
-71.94068275,42.89308942,7003,2003458,MONADNOCK COMMUNITY HOSPITAL,PETERBOROUGH,NH,3458,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,25,HILLSBOROUGH,33011,USA,42.89308942,-71.94068275,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,25,NOT AVAILABLE,,,OPEN
-71.4613747,42.75627984,7004,2303060,SOUTHERN NEW HAMPSHIRE MEDICAL CENTER,NASHUA,NH,3060,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,188,HILLSBOROUGH,33011,USA,42.75627984,-71.4613747,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,188,II,,,OPEN
-71.48021205,42.74923911,7005,2403061,ST JOSEPH HOSPITAL,NASHUA,NH,3061,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,208,HILLSBOROUGH,33011,USA,42.74923911,-71.48021205,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,208,II,,,OPEN
-71.438,42.983954,7006,3003103,ELLIOT HOSPITAL CITY OF MANCHESTER,MANCHESTER,NH,3103,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,296,HILLSBOROUGH,33011,USA,42.983954,-71.438,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,296,II,,,OPEN
-71.5620204,43.19774414,7007,103301,CONCORD HOSPITAL,CONCORD,NH,3301,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,295,MERRIMACK,33013,USA,43.19774414,-71.5620204,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,295,II,,,OPEN
-71.64455272,43.44840426,7008,1203235,FRANKLIN REGIONAL HOSPITAL,FRANKLIN,NH,3235,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,25,MERRIMACK,33013,USA,43.44840426,-71.64455273,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,25,NOT AVAILABLE,,,OPEN
-71.56283486,43.19977474,7009,1503301,HEALTHSOUTH REHABILITATION HOSPITAL,CONCORD,NH,3301,NOT AVAILABLE,REHABILITATION,OPEN,50,MERRIMACK,33013,USA,43.19977474,-71.56283486,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,50,NOT AVAILABLE,,,OPEN
-72.00004766,43.42063768,7010,2103257,NEW LONDON HOSPITAL,NEW LONDON,NH,3257,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,25,MERRIMACK,33013,USA,43.42063768,-72.00004766,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,25,NOT AVAILABLE,,,OPEN
