OBJECTID,STATE,LEVEL_,DEFINITION,SOURCE,SOURCEDATE
1,AK,I,"Level I Trauma Centers generally serve large cities or population-dense areas. A Level I Trauma Center is responsible for providing leadership in research, professional and community education. There are no Level I Trauma Centers in Alaska because, there are no trauma research and teaching facilities in Alaska.",http://dhss.alaska.gov/dph/Emergency/Pages/trauma/designation.aspx,2016-05-20T00:00:00.000Z
2,AK,II,"A Level II Trauma Center provides comprehensive trauma care and serves as a lead trauma facility for a geographical area. A Level II Trauma Center provides educational outreach and prevention programs and assumes responsibility for trauma system leadership. There are emergency physicians and nurses in-house to initiate resuscitation and stabilization, with surgical teams on call and promptly available.",http://dhss.alaska.gov/dph/Emergency/Pages/trauma/designation.aspx,2016-05-20T00:00:00.000Z
3,AK,III,"The Level III Trauma Center provides assessment, resuscitation, emergency surgery, and stabilization and, for the most critically injured patients, arranges for transfer to a Level I or Level II trauma center that can provide further definitive care. A general surgeon must be promptly available and the facility must be involved with prevention and have an active outreach program for its referring communities.",http://dhss.alaska.gov/dph/Emergency/Pages/trauma/designation.aspx,2016-05-20T00:00:00.000Z
4,AK,IV,Level IV Trauma Centers are small rural facilities that provide initial evaluation and assessment of injured patients prior to transfer to a larger referral facility.,http://dhss.alaska.gov/dph/Emergency/Pages/trauma/designation.aspx,2016-05-20T00:00:00.000Z
5,AK,NOT DESIGNATED,Not designated,http://dhss.alaska.gov/dph/Emergency/Pages/trauma/designation.aspx,2016-05-20T00:00:00.000Z
6,AL,I,"Highest level of institutional organization and hospital divisions and equipment, including Neurological Slurgery, Orthopedic Surgery, and Pediatrics.  Capabilities for cardiac surgery and others.  Board certification for emergency medicine.  Trauma admissions 1200/yr and operating room immediately available. Rehabilitation services available and performance improvement personnel available. Highest level of collaboration, coordination with other centers/programs and the community.",http://www.adph.org/ats/assets/ATS.Master.Designation.Checklist3.pdf,2016-05-20T00:00:00.000Z
7,AL,II,"High standard for organization, divisions, and equipment, including orthopedic surgery.  Capabilities for pediatrics and equipment for critical care unit. Physical therapy and social services provided, and participation in community activities.",http://www.adph.org/ats/assets/ATS.Master.Designation.Checklist3.pdf,2016-05-20T00:00:00.000Z
8,AL,III,capabilities for emergency medication and surgery and patient stabilization if they require transfer to higher level center,http://www.adph.org/ats/assets/ATS.Master.Designation.Checklist3.pdf,2016-05-20T00:00:00.000Z
9,AR,I,"Level I Trauma Centers provide comprehensive care to patients following injury.   Services include both medical and surgical specialties coordinated to achieve the best outcomes for the most severely injured patients.  Involved in professional and community education as well as IVP.  Also have additional responsibilites and requirements to provide sub-specialty services, such as cardiac, hand, and reconstructive surgery, and have a commitment to trauma research and graduate medical education.",http://www.healthy.arkansas.gov/aboutADH/RulesRegs/TraumaSystems.pdf,2016-05-20T00:00:00.000Z
10,AR,II,Level II Trauma Centers provide comprehensive care to patients following injury.   Services include both medical and surgical specialties coordinated to achieve the best outcomes for the most severely injured patients.  Involved in professional and community education as well as IVP.,http://www.healthy.arkansas.gov/aboutADH/RulesRegs/TraumaSystems.pdf,2016-05-20T00:00:00.000Z
11,AR,III,"The Level III trauma center (general) serves communities that do not have immediate access to a Level I or II institution. Level III trauma centers can provide prompt assessment, resuscitation, emergency operations, stabilization, and also arrange for transfer to a facility that can provide definitive trauma care. General surgeons and orthopedic surgeons are required in a Level III facility.",http://www.healthy.arkansas.gov/aboutADH/RulesRegs/TraumaSystems.pdf,2016-05-20T00:00:00.000Z
12,AR,IV,"The Level IV trauma center (basic) is a rural medical treatment facility without continuous surgical availability that has a commitment to excellence in trauma care. Level IV centers have an organized program that defines the trauma patient and activates a multidisciplinary treatment team that is rapidly available to treat the injured patients using pre-determined clinical guidelines developed by the trauma system. A Level IV trauma center is expected to function at its clinical capability, which may exceed the minimum “essential” categorization criteria. For example, if a general surgeon is sometimes available, he/she shall be an active member of the trauma team. If he/she is on-call for the hospital and responsible for patient care, then the surgeon shall also be responsible for trauma patient care.",http://www.healthy.arkansas.gov/aboutADH/RulesRegs/TraumaSystems.pdf,2016-05-20T00:00:00.000Z
13,AZ,I,"Highest level of institutional organization and hospital divisions and equipment, including Neurological Slurgery and Orthopedic Surgery.   Rehabilitation services available.  Provide sub-specialty services, such as cardiac, hand, and reconstructive surgery, and have a commitment to trauma research and graduate medical education.",http://www.azdhs.gov/documents/preparedness/emergency-medical-services-trauma-system/trauma/ExhibitI-ArizonaTraumaCenterStandards.pdf,2016-05-20T00:00:00.000Z
14,AZ,II,"High standard for organization, divisions, and equipment, including orthopedic surgery.  Capabilities for pediatrics and equipment for critical care unit. Physical therapy and social services provided, and participation in community activities.",http://www.azdhs.gov/documents/preparedness/emergency-medical-services-trauma-system/trauma/ExhibitI-ArizonaTraumaCenterStandards.pdf,2016-05-20T00:00:00.000Z
15,AZ,III,Capabilities for emergency medication and surgery and patient stabilization if they require transfer to higher level center.,http://www.azdhs.gov/documents/preparedness/emergency-medical-services-trauma-system/trauma/ExhibitI-ArizonaTraumaCenterStandards.pdf,2016-05-20T00:00:00.000Z
16,AZ,IV,Rural medical treatment facility without continuous surgical availability,http://www.azdhs.gov/documents/preparedness/emergency-medical-services-trauma-system/trauma/LevelIVTraumaCenterCriteria.pdf,2016-05-20T00:00:00.000Z
17,CA,I,"Level I Trauma Centers provide comprehensive care to patients following injury. Services that include surgical specialties such as neurology and orthopedics, as well as non-surgical specialties such as psychiatry.  Level I has to have a minimum of 1200 trauma program admissions, as well as research and education.",http://www.emsa.ca.gov/ems_systems_division_trauma_level_overview,2016-05-20T00:00:00.000Z
18,CA,II,"Level II Trauma Centers provide comprehensive care to patients following injury. Services that include surgical specialties such as neurology and orthopedics, as well as non-surgical specialties such as psychiatry. ",http://www.emsa.ca.gov/ems_systems_division_trauma_level_overview,2016-05-20T00:00:00.000Z
19,CA,III,A Level III trauma center shall include equipment and resources necessary for initial stabilization and personnel knowledgeable in the treatment of adult and pediatric trauma.,http://www.emsa.ca.gov/ems_systems_division_trauma_level_overview,2016-05-20T00:00:00.000Z
20,CA,IV,A Level IV trauma center shall include equipment and resources necessary for initial stabilization and personnel knowledgeable in the treatment of adult and pediatric trauma.  Generally rural and can arrange for transfer to larger facility.,http://www.emsa.ca.gov/ems_systems_division_trauma_level_overview,2016-05-20T00:00:00.000Z
21,CA,I PEDIATRIC,"Level I Pediatric Trauma Centers provide comprehensive care to pediatric patients following injury.   Services that include surgical specialties such as neurology and orthopedics, as well as non-surgical specialties such as psychiatry.  Staff with pediatric specialties, and commitment to research and education.",http://www.emsa.ca.gov/ems_systems_division_trauma_level_overview,2016-05-20T00:00:00.000Z
22,CA,II PEDIATRIC,"Level II Pediatric Trauma Centers provide comprehensive care to pediatric patients following injury.   Services that include surgical specialties such as neurology and orthopedics, as well as non-surgical specialties such as psychiatry.  Staff with pediatric specialties.",http://www.emsa.ca.gov/ems_systems_division_trauma_level_overview,2016-05-20T00:00:00.000Z
23,CO,I,"Level I Trauma Centers provide comprehensive care to patients following injury.   Services that include surgical specialties such as neurology and orthopedics, as well as non-surgical specialties such as psychiatry.  Rehabilitation services available.  High level of collaboration with community, research and education.",http://www.sos.state.co.us/CCR/GenerateRulePdf.do?ruleVersionId=6617&fileName=6%20CCR%201015-4,2016-05-20T00:00:00.000Z
