"","NAME","TYPE","STATUS","LAT","LON","STAT2"
"1","CATHOLIC MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",42.99156518,-71.4743109,"OPEN"
"2","CROTCHED MOUNTAIN REHABILITATION CENTER","REHABILITATION","OPEN",42.9718711,-71.87453591,"OPEN"
"3","MONADNOCK COMMUNITY HOSPITAL","GENERAL ACUTE CARE","OPEN",42.89308942,-71.94068275,"OPEN"
"4","SOUTHERN NEW HAMPSHIRE MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",42.75627984,-71.4613747,"OPEN"
"5","ST JOSEPH HOSPITAL","GENERAL ACUTE CARE","OPEN",42.74923911,-71.48021205,"OPEN"
"6","ELLIOT HOSPITAL CITY OF MANCHESTER","GENERAL ACUTE CARE","OPEN",42.983954,-71.438,"OPEN"
"7","CONCORD HOSPITAL","GENERAL ACUTE CARE","OPEN",43.19774414,-71.5620204,"OPEN"
"8","FRANKLIN REGIONAL HOSPITAL","GENERAL ACUTE CARE","OPEN",43.44840426,-71.64455273,"OPEN"
"9","HEALTHSOUTH REHABILITATION HOSPITAL","REHABILITATION","OPEN",43.19977474,-71.56283486,"OPEN"
"10","NEW LONDON HOSPITAL","GENERAL ACUTE CARE","OPEN",43.42063768,-72.00004766,"OPEN"
"11","BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.78005719,-72.97714065,"OPEN"
"12","SOUTHAMPTON HOSPITAL","GENERAL ACUTE CARE","OPEN",40.88505974,-72.37994406,"OPEN"
"13","EASTERN LONG ISLAND HOSPITAL","GENERAL ACUTE CARE","OPEN",41.11036057,-72.36112732,"OPEN"
"14","HUNTINGTON HOSPITAL","GENERAL ACUTE CARE","OPEN",40.87932924,-73.41619953,"OPEN"
"15","SOUTHSIDE HOSPITAL","GENERAL ACUTE CARE","OPEN",40.72596015,-73.24115864,"OPEN"
"16","PECONIC BAY MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.93426399,-72.67362495,"OPEN"
"17","ST CHARLES HOSPITAL AND REHABILITATION CENTER","GENERAL ACUTE CARE","OPEN",40.94663123,-73.06096322,"OPEN"
"18","CARDINAL HILL REHABILITATION HOSPITAL","REHABILITATION","OPEN",38.04697243,-84.54138894,"OPEN"
"19","FLEMING COUNTY HOSPITAL","GENERAL ACUTE CARE","OPEN",38.42215105,-83.75154531,"OPEN"
"20","BAPTIST HEALTH LEXINGTON","GENERAL ACUTE CARE","OPEN",38.01880519,-84.51185771,"OPEN"
"21","EASTERN STATE HOSPITAL","PSYCHIATRIC","OPEN",38.06030326,-84.49856874,"OPEN"
"22","ST. CATHERINE OF SIENA MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.86850019,-73.22299673,"OPEN"
"23","SAINT JOSEPH EAST","GENERAL ACUTE CARE","OPEN",37.9994201,-84.439155,"OPEN"
"24","SAINT JOSEPH HOSPITAL","GENERAL ACUTE CARE","OPEN",38.03233973,-84.52329929,"OPEN"
"25","SHRINERS HOSPITAL FOR CHILDREN","CHILDREN","OPEN",38.02270661,-84.47269852,"OPEN"
"26","CAYUGA MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",42.46898507,-76.53748416,"OPEN"
"27","GOOD SAMARITAN HOSPITAL - WEST ISLIP","GENERAL ACUTE CARE","OPEN",40.69388013,-73.29439462,"OPEN"
"28","GROVER M. HERMAN HOSPITAL","CRITICAL ACCESS","OPEN",41.74029193,-75.04741551,"OPEN"
"29","HEALTHALLIANCE HOSPITAL - MARY S AVENUE CAMPSU","GENERAL ACUTE CARE","OPEN",41.92149416,-73.99968712,"OPEN"
"30","HEALTHALLIANCE HOSPITAL - BROADWAY CAMPUS","GENERAL ACUTE CARE","OPEN",41.92665841,-73.99484207,"OPEN"
"31","ELLENVILLE REGIONAL HOSPITAL","CRITICAL ACCESS","OPEN",41.73262979,-74.37903498,"OPEN"
"32","GLENS FALLS HOSPITAL","GENERAL ACUTE CARE","OPEN",43.30662939,-73.64631274,"OPEN"
"33","WHITE PLAINS HOSPITAL CENTER","GENERAL ACUTE CARE","OPEN",41.02559431,-73.7693051,"OPEN"
"34","NEWARK-WAYNE COMMUNITY HOSPITAL","GENERAL ACUTE CARE","OPEN",43.06049938,-77.10166991,"OPEN"
"35","BURKE REHABILITATION CENTER","REHABILITATION","CLOSED",40.84418356,-73.83535509,"OPEN"
"36","ST. JOHN S RIVERSIDE HOSPITAL - DOBBS FERRY","GENERAL ACUTE CARE","OPEN",41.01439225,-73.86191965,"OPEN"
"37","NORTHERN WESTCHESTER HOSPITAL","GENERAL ACUTE CARE","OPEN",41.19705408,-73.72570075,"OPEN"
"38","PHELPS MEMORIAL HOSPITAL CENTER","GENERAL ACUTE CARE","OPEN",41.10900706,-73.86308776,"OPEN"
"39","TWIN LAKES REGIONAL MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",37.4725153,-86.28859309,"OPEN"
"40","NEW YORK-PRESBYTERIAN/LAWRENCE HOSPITAL","GENERAL ACUTE CARE","OPEN",40.94209087,-73.8365642,"OPEN"
"41","JACKSON PURCHASE MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",36.75920899,-88.65125908,"OPEN"
"42","OUR LADY OF BELLEFONTE HOSPITAL","GENERAL ACUTE CARE","OPEN",38.50845432,-82.69261651,"OPEN"
"43","BLYTHEDALE CHILDREN S HOSPITAL","CHILDREN","OPEN",41.07484754,-73.79997224,"OPEN"
"44","PASSAVANT AREA HOSPITAL","GENERAL ACUTE CARE","OPEN",39.74608499,-90.26048664,"OPEN"
"45","BROOK LANE HEALTH SERVICES","PSYCHIATRIC","OPEN",39.6769953,-77.6105994,"OPEN"
"46","SOLDIERS AND SAILORS MEMORIAL HOSPITAL","CRITICAL ACCESS","OPEN",42.67140067,-77.06119958,"OPEN"
"47","BRONX-LEBANON HOSPITAL CENTER - FULTON DIVISION","GENERAL ACUTE CARE","OPEN",40.83171479,-73.90405698,"OPEN"
"48","GARRARD COUNTY HOSPITAL","GENERAL ACUTE CARE","CLOSED",37.62202606,-84.58515725,"OPEN"
"49","WESTCHESTER MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",41.08609075,-73.80495477,"OPEN"
"50","JACOBI MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",40.85629836,-73.84751215,"OPEN"
"51","MONTEFIORE MEDICAL CENTER - MOSES DIVISION","GENERAL ACUTE CARE","OPEN",40.88007926,-73.8798267,"OPEN"
"52","FRANKFORT REGIONAL MEDICAL CENTER","LONG TERM CARE","OPEN",38.16066175,-84.9068937,"OPEN"
"53","CALVARY HOSPITAL","LONG TERM CARE","OPEN",40.84798989,-73.84394163,"OPEN"
"54","NORTH CENTRAL BRONX HOSPITAL","GENERAL ACUTE CARE","OPEN",40.8803656,-73.88105711,"OPEN"
"55","DEER S HEAD CENTER","CHRONIC DISEASE","OPEN",38.38229856,-75.5957198,"OPEN"
"56","MERITUS MEDICAL CENTER","GENERAL ACUTE CARE","OPEN",39.62219281,-77.68256295,"OPEN"
"57","WESTERN MARYLAND CENTER","LONG TERM CARE","OPEN",39.66242734,-77.71631192,"OPEN"
