STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
1,1,20100,1912,32.475973,-86.486772
1,1,20200,2170,32.471763,-86.472782
1,1,20300,3373,32.474011,-86.459639
1,1,20400,4386,32.468685,-86.443021
1,1,20500,10766,32.46533,-86.423696
1,1,20600,3668,32.44256,-86.477609
1,1,20700,2891,32.444477,-86.447699
1,1,20801,3081,32.443487,-86.522529
1,1,20802,10435,32.529016,-86.480528
1,1,20900,5675,32.634754,-86.504589
1,1,21000,2894,32.608121,-86.728917
1,1,21100,3320,32.467356,-86.696724
1,3,10100,3804,31.055573,-87.774011
1,3,10200,2902,30.946684,-87.685762
1,3,10300,7826,30.808323,-87.840386
1,3,10400,4736,30.747061,-87.696704
1,3,10500,4815,30.892249,-87.777111
1,3,10600,3325,30.859324,-87.772897
1,3,10701,7882,30.675829,-87.89348
1,3,10703,13166,30.627093,-87.844192
1,3,10704,5055,30.644471,-87.881857
1,3,10705,8331,30.633961,-87.89464
1,3,10800,6861,30.595069,-87.898694
1,3,10903,5173,30.605283,-87.763527
1,3,10904,6831,30.573494,-87.613192
1,3,10905,8011,30.543642,-87.743921
1,3,10906,4302,30.561646,-87.693799
1,3,11000,4305,30.490009,-87.703579
1,3,11101,8397,30.519236,-87.857077
1,3,11102,3715,30.47619,-87.848135
1,3,11201,4230,30.534362,-87.891841
1,3,11202,5065,30.511587,-87.904194
1,3,11300,4487,30.435858,-87.874747
1,3,11401,10632,30.391982,-87.759904
1,3,11403,9131,30.319479,-87.678887
1,3,11405,3832,30.293296,-87.540219
1,3,11406,3412,30.280643,-87.636466
1,3,11407,4799,30.261402,-87.71947
1,3,11408,433,30.235377,-87.903638
1,3,11501,5316,30.425484,-87.689711
1,3,11502,10534,30.384878,-87.672515
1,3,11601,6062,30.399094,-87.576322
1,3,11602,4895,30.396358,-87.46355
1,3,990000,0,30.328802,-87.882974
1,5,950100,3321,31.973095,-85.162527
1,5,950200,4264,31.885429,-85.46978
1,5,950300,1638,31.791194,-85.559413
1,5,950400,4303,31.684383,-85.588428
1,5,950500,3467,31.786045,-85.225933
1,5,950600,2099,31.872596,-85.198798
1,5,950700,1727,31.893693,-85.166969
1,5,950800,2055,31.901524,-85.157531
1,5,950900,4583,31.867091,-85.153992
1,7,10001,2732,33.102668,-87.179385
1,7,10002,6025,33.183116,-87.120502
1,7,10003,5391,32.967289,-87.013522
1,7,10004,8767,32.943098,-87.18664
1,9,50101,7858,33.902595,-86.4552
1,9,50102,7050,33.952721,-86.465562
1,9,50200,3789,33.993927,-86.551011
1,9,50300,5269,34.085211,-86.398125
1,9,50400,4451,34.165386,-86.494918
1,9,50500,7329,34.033609,-86.62909
1,9,50601,3922,33.864323,-86.890944
1,9,50602,8923,33.887976,-86.779335
1,9,50700,8731,33.84612,-86.640721
1,11,952100,1434,32.093127,-85.527085
1,11,952200,7102,32.140414,-85.704199
1,11,952500,2378,32.058378,-85.79717
1,13,952700,2439,31.870012,-86.608101
1,13,952800,1394,31.83668,-86.630574
1,13,952900,2180,31.838059,-86.655732
1,13,953000,1469,31.855815,-86.776219
1,13,953100,3023,31.812831,-86.629681
1,13,953200,4327,31.801204,-86.554559
1,13,953300,1774,31.714643,-86.721785
1,13,953400,2931,31.62703,-86.75912
1,13,953500,1410,31.568271,-86.672824
1,15,200,3104,33.666928,-85.817462
1,15,300,2951,33.676742,-85.832171
1,15,400,2812,33.676301,-85.856305
1,15,500,1814,33.662885,-85.843565
1,15,600,2191,33.641593,-85.836033
1,15,700,2715,33.719465,-85.814386
1,15,800,1379,33.648795,-85.824029
1,15,900,3362,33.646823,-85.802387
1,15,1000,5792,33.630911,-85.786379
1,15,1100,6565,33.599437,-85.801298
1,15,1201,3482,33.611663,-85.844841
1,15,1202,4318,33.594757,-85.883955
1,15,1300,2211,33.644827,-85.871703
1,15,1400,3731,33.65811,-85.895469
1,15,1500,5198,33.608939,-85.954252
1,15,1600,3791,33.701937,-85.848458
1,15,1700,6329,33.723763,-85.842003
1,15,1800,6919,33.758351,-85.808425
1,15,2000,7335,33.691589,-85.70267
1,15,2101,3992,33.824312,-85.770903
1,15,2102,3411,33.824309,-85.751814
1,15,2103,6801,33.7985,-85.762496
1,15,2200,3652,33.910168,-85.60746
1,15,2300,3843,33.934092,-85.632725
